Semana,Sesión,Fecha,Contenido,Anotaciones
1,1,16 de agosto,Encuadre del curso, 
,2,18 de agosto,Correlaciones y covarianzas, 
2,3,23 de agosto,Correlaciones y covarianzas / Funciones de Distribución y Densidad, 
,4,25 de agosto,Funciones de Distribución y Densidad, 
3,5,30 de agosto,Funciones de Distribución y Densidad, 
,6,1 de septiembre,Funciones de Distribución y Densidad, 
4,7,6 de septiembre,Máxima Verosimilitud,
,8,8 de septiembre,Máxima Verosimilitud,
5,9,13 de septiembre,Razón de Verosimilitud, 
,10,15 de septiembre,Razón de Verosimilitud, 
6,11,20 de septiembre,Primer Examen Parcial_Parte 1,Aplicar en una sesión
,12,22 de septiembre,Primer Examen Parcial_Parte 2,
7,13,27 de septiembre,Prueba de Hipótesis Lineal,
,14,29 de septiembre,Prueba de Hipótesis Lineal, 
8,15,4 de octubre,Regresión Lineal, 
,16,6 de octubre,Regresión Lineal, 
9,17,11 de octubre,Exposición Regresión Logística, La exposición se puede alargar a dos clases
,18,13 de octubre,ANOVA/MANOVA, 
10,19,18 de octubre,ANOVA/MANOVA,
,20,20 de octubre,Exposición ANCOVA/MANCOVA,  La exposición se puede alargar a dos clases
11,21,25 de octubre,Segundo Examen Parcial_Parte 1,"Aplicar en una sesión
"
,22,27 de octubre,Segundo Examen Parcial_Parte 2,
12,23,1 de noviembre ,Análisis de Componentes Principales,"
Semana de Bajas
"
,24,3 de noviembre,Análisis de Componentes Principales,
13,25,8 de noviembre,Exposición Análisis Factorial, La exposición se puede alargar a dos clases
,26,10 de noviembre,Análisis de clúster, 
14,27,15 de noviembre,Análisis de clúster, 
,28,17 de noviembre,Exposición DBScan, La exposición se puede alargar a dos clases
15,29,22 de noviembre,Exposición GMM, La exposición se puede alargar a dos clases
,30,24 de noviembre,Proyecto Final (por definir),
16,31,29 de noviembre,Proyecto Final (por definir), 
,32,1 de diciembre,Entrega de Calificaciones, 
